film,Poster,pixar_films.release_date
Toy Story,https://m.media-amazon.com/images/I/71aBLaC4TzL.jpg,11/22/1995
A Bug's Life,https://m.media-amazon.com/images/M/MV5BNGI3Mjc1ZjUtYTJhYS00NjBiLTgyYjctODU5NTNlMWJiYjYzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,11/25/1998
Toy Story 2,https://i.pinimg.com/736x/92/b4/47/92b4478fab8eca9694c473fcf5331a86.jpg,11/24/1999
"Monsters, Inc.",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_.jpg,11/2/2001
Finding Nemo,"https://m.media-amazon.com/images/I/71+H7cpoK9L._AC_UF1000,1000_QL80_.jpg",5/30/2003
The Incredibles,https://m.media-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_FMjpg_UX1000_.jpg,11/5/2004
Cars,https://m.media-amazon.com/images/I/91J9Eoa0udL.jpg,6/9/2006
Ratatouille,https://i.ebayimg.com/images/g/KmAAAOSw4HVWDXWS/s-l1200.jpg,6/29/2007
WALL-E,https://image.tmdb.org/t/p/original/pjUh2OzQ8ES6ifaBRk2viKFNGGw.jpg,6/27/2008
Up,https://rukminim2.flixcart.com/image/850/1000/poster/e/h/d/medium-andathdavp0243-ananyadesigns-up-official-wall-poster-original-imaeky26p54gpyhv.jpeg?q=20&crop=false,5/29/2009
Toy Story 3,https://m.media-amazon.com/images/I/91u06uZAh2L._AC_SL1500_.jpg,6/18/2010
Cars 2,https://www.xgamertechnologies.com/images/pcgames/thumbnails/tn_Cars%202_2011.webp,6/24/2011
Brave,https://m.media-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_.jpg,6/22/2012
Monsters University,https://m.media-amazon.com/images/I/81t9r7HTz6L.jpg,6/21/2013
Inside Out,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_.jpg,6/19/2015
The Good Dinosaur,https://image.tmdb.org/t/p/original/uFGLkizYHzAE5cEtWtyL6FBcBdJ.jpg,11/25/2015
Finding Dory,https://m.media-amazon.com/images/M/MV5BY2VlYWJjMGMtYjcwZC00MDE2LThmMDItYjVlMzNhYzBhYTk5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,6/17/2016
Cars 3,https://lumiere-a.akamaihd.net/v1/images/p_cars3_19643_3ab8aca1.jpeg,6/16/2017
Coco,https://i5.walmartimages.com/asr/591da8ad-5d7d-4839-924e-156c147701b4.5d243bebf10c969b420a3303a6c989ed.jpeg,11/22/2017
Incredibles 2,https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_FMjpg_UX1000_.jpg,6/15/2018
Toy Story 4,https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_.jpg,6/21/2019
Onward,https://m.media-amazon.com/images/M/MV5BODYyM2I0YTItODA2MC00NDc0LTgyZmEtODM1MWQwZmY4YzY4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,3/6/2020
Soul,https://m.media-amazon.com/images/M/MV5BZTZkYjA5MDEtMjY1ZC00ODk5LThjOTUtZDYxODEzYWNjMTU2XkEyXkFqcGc@._V1_.jpg,12/25/2020
Luca,https://m.media-amazon.com/images/M/MV5BMWMyNGNlZTktODVkNS00ZmMyLTk0NmUtNWVjOWU1MWMzZGMzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,6/18/2021
Turning Red,https://m.media-amazon.com/images/M/MV5BODY2NjExYmUtZTQ4NS00NzM2LWE2NWYtZWY2NGIyOTBmNzI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,3/11/2022
Lightyear,https://gamemag.ru/images/imagemanager/cache/5d/96bf/5d96bf_FQ35xlLVIAI5MaQ.jpg,6/17/2022
Elemental,https://m.media-amazon.com/images/M/MV5BNjU2MjE1OGItZjdmYS00ZmIyLTljNjYtOWI5ZGRkZjM4NDEwXkEyXkFqcGc@._V1_.jpg,6/16/2023
Inside Out 2,https://m.media-amazon.com/images/M/MV5BYWY3MDE2Y2UtOTE3Zi00MGUzLTg2MTItZjE1ZWVkMGVlODRmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,6/14/2024
